DISTRICT,EN,YEAR,SEATS,PROP,Category
MACEDON,45491,2018,1,45491,RURAL
MALDON,1580,1894,1,1580,RURAL
RODNEY,25308,1976,1,25308,RURAL
ST KILDA,30653,1976,1,30653,URBAN
MALDON,1781,1897,1,1781,RURAL
MALDON,2004,1900,1,2004,RURAL
MALDON,2006,1902,1,2006,RURAL
MALVERN,24069,1945,1,24069,URBAN
MALVERN,24008,1947,1,24008,URBAN
MALVERN,22575,1950,1,22575,URBAN
MALVERN,21615,1952,1,21615,URBAN
MALVERN,18685,1955,1,18685,URBAN
MALVERN,20074,1958,1,20074,URBAN
WARRNAMBOOL,25119,1976,1,25119,RURAL
MALVERN,19098,1961,1,19098,URBAN
MALVERN,18966,1964,1,18966,URBAN
WILLIAMSTOWN,29439,1976,1,29439,URBAN
ALBERT PARK,27902,1979,1,27902,URBAN
MALVERN,26037,1967,1,26037,URBAN
MALVERN,25836,1970,1,25836,URBAN
MALVERN,27707,1973,1,27707,URBAN
MALVERN,29564,1976,1,29564,URBAN
BENALLA,25869,1979,1,25869,RURAL
BENAMBRA,28168,1979,1,28168,RURAL
MALVERN,28751,1979,1,28751,URBAN
MALVERN,27155,1982,1,27155,URBAN
MALVERN,29949,1985,1,29949,URBAN
MALVERN,28614,1988,1,28614,URBAN
MALVERN,33783,1992,1,33783,URBAN
BRIGHTON,27271,1979,1,27271,URBAN
MALVERN,34849,1996,1,34849,URBAN
BRUNSWICK,28666,1979,1,28666,URBAN
MALVERN,35940,1999,1,35940,URBAN
MALVERN,36655,2002,1,36655,URBAN
MALVERN,37452,2006,1,37452,URBAN
MALVERN,37798,2010,1,37798,URBAN
MALVERN,40708,2014,1,40708,URBAN
DANDENONG,35979,1979,1,35979,RURAL
MALVERN,42898,2018,1,42898,URBAN
MANDURANG,1875,1894,1,1875,RURAL
ESSENDON,27594,1979,1,27594,URBAN
EVELYN,32891,1979,1,32891,RURAL
MANDURANG,2025,1897,1,2025,RURAL
MANDURANG,2218,1900,1,2218,RURAL
MANDURANG,2190,1902,1,2190,RURAL
MARYBOROUGH AND DAYLESFORD,10515,1927,1,10515,RURAL
MARYBOROUGH AND DAYLESFORD,10614,1929,1,10614,RURAL
MARYBOROUGH AND DAYLESFORD,10897,1932,1,10897,RURAL
GIPPSLAND EAST,26563,1979,1,26563,RURAL
GIPPSLAND SOUTH,26619,1979,1,26619,RURAL
MARYBOROUGH AND DAYLESFORD,11438,1935,1,11438,RURAL
MARYBOROUGH AND DAYLESFORD,11387,1937,1,11387,RURAL
MARYBOROUGH AND DAYLESFORD,11061,1940,1,11061,RURAL
MARYBOROUGH AND DAYLESFORD,10694,1943,1,10694,RURAL
HAWTHORN,27060,1979,1,27060,URBAN
MELBOURNE EAST,4068,1894,2,2034,URBAN
MELBOURNE EAST,4322,1897,2,2161,URBAN
MELBOURNE EAST,4825,1900,2,2412.5,URBAN
MELBOURNE EAST,5395,1902,2,2697.5,URBAN
HAWTHORN,22139,1929,1,22139,URBAN
LOWAN,25261,1979,1,25261,RURAL
MELBOURNE NORTH,2966,1894,1,2966,URBAN
MELBOURNE,25415,1979,1,25415,URBAN
MELBOURNE NORTH,2938,1897,1,2938,URBAN
MELBOURNE NORTH,3773,1900,1,3773,URBAN
MELBOURNE NORTH,3525,1902,1,3525,URBAN
MELBOURNE SOUTH,2405,1894,1,2405,URBAN
MELBOURNE SOUTH,2469,1897,1,2469,URBAN
MELBOURNE SOUTH,2742,1900,1,2742,URBAN
MELBOURNE SOUTH,2709,1902,1,2709,URBAN
MELBOURNE WEST,2259,1894,1,2259,URBAN
MELBOURNE WEST,2324,1897,1,2324,URBAN
MELBOURNE WEST,2955,1900,1,2955,URBAN
MELBOURNE WEST,2441,1902,1,2441,URBAN
MELTON,31563,1992,1,31563,URBAN
POLWARTH,25168,1979,1,25168,RURAL
MELTON,37746,1996,1,37746,URBAN
PRAHRAN,26766,1979,1,26766,URBAN
MELTON,44047,1999,1,44047,URBAN
MELTON,35458,2002,1,35458,URBAN
RICHMOND,28908,1979,1,28908,URBAN
MELTON,38693,2006,1,38693,URBAN
MELTON,43639,2010,1,43639,URBAN
RODNEY,26107,1979,1,26107,RURAL
ST KILDA,27012,1979,1,27012,URBAN
MELTON,44915,2014,1,44915,URBAN
MELTON,53306,2018,1,53306,URBAN
MENTONE,24667,1945,1,24667,URBAN
MENTONE,28347,1947,1,28347,URBAN
MENTONE,31207,1950,1,31207,URBAN
MENTONE,36049,1952,1,36049,URBAN
MENTONE,25716,1955,1,25716,URBAN
MENTONE,23641,1958,1,23641,URBAN
MENTONE,26167,1961,1,26167,URBAN
WARRNAMBOOL,25749,1979,1,25749,RURAL
MENTONE,28065,1964,1,28065,URBAN
MENTONE,25088,1967,1,25088,URBAN
WILLIAMSTOWN,29523,1979,1,29523,URBAN
ALBERT PARK,27705,1982,1,27705,URBAN
MENTONE,26925,1970,1,26925,URBAN
MENTONE,30301,1973,1,30301,URBAN
MENTONE,29150,1976,1,29150,URBAN
MENTONE,28873,1979,1,28873,URBAN
BENALLA,26711,1982,1,26711,RURAL
BENAMBRA,30162,1982,1,30162,RURAL
MENTONE,28581,1982,1,28581,URBAN
MENTONE,30373,1985,1,30373,URBAN
MENTONE,29593,1988,1,29593,URBAN
MERNDA,13697,1945,1,13697,URBAN
MERNDA,14844,1947,1,14844,URBAN
BRIGHTON,25960,1982,1,25960,URBAN
MERNDA,16397,1950,1,16397,URBAN
BRUNSWICK,29039,1982,1,29039,URBAN
MERNDA,18751,1952,1,18751,URBAN
MIDLANDS,14167,1945,1,14167,RURAL
MIDLANDS,14717,1947,1,14717,RURAL
MIDLANDS,14919,1950,1,14919,RURAL
MIDLANDS,15220,1952,1,15220,RURAL
DANDENONG,39611,1982,1,39611,RURAL
MIDLANDS,22327,1955,1,22327,RURAL
MIDLANDS,22512,1958,1,22512,RURAL
ESSENDON,27164,1982,1,27164,URBAN
EVELYN,37613,1982,1,37613,RURAL
MIDLANDS,23306,1961,1,23306,RURAL
MIDLANDS,23894,1964,1,23894,RURAL
MIDLANDS,23038,1967,1,23038,RURAL
MIDLANDS,23127,1970,1,23127,RURAL
MIDLANDS,26671,1973,1,26671,RURAL
MIDLANDS,24768,1976,1,24768,RURAL
GIPPSLAND EAST,28280,1982,1,28280,RURAL
GIPPSLAND SOUTH,27920,1982,1,27920,RURAL
MIDLANDS,26532,1979,1,26532,RURAL
MIDLANDS,28423,1982,1,28423,RURAL
MILDURA,9066,1927,1,9066,RURAL
MILDURA,10602,1929,1,10602,RURAL
HAWTHORN,25864,1982,1,25864,URBAN
MILDURA,10966,1932,1,10966,RURAL
MILDURA,12946,1935,1,12946,RURAL
MILDURA,13152,1937,1,13152,RURAL
MILDURA,13034,1940,1,13034,RURAL
MILDURA,13187,1943,1,13187,RURAL
LOWAN,25570,1982,1,25570,RURAL
MILDURA,13087,1945,1,13087,RURAL
MELBOURNE,23657,1982,1,23657,URBAN
MILDURA,14398,1947,1,14398,RURAL
MILDURA,14197,1950,1,14197,RURAL
MILDURA,14224,1952,1,14224,RURAL
MILDURA,19086,1955,1,19086,RURAL
MILDURA,20254,1958,1,20254,RURAL
MILDURA,20648,1961,1,20648,RURAL
MILDURA,20973,1964,1,20973,RURAL
MILDURA,18161,1967,1,18161,RURAL
MILDURA,18690,1970,1,18690,RURAL
MILDURA,20024,1973,1,20024,RURAL
MILDURA,24449,1976,1,24449,RURAL
MILDURA,25566,1979,1,25566,RURAL
POLWARTH,25595,1982,1,25595,RURAL
MILDURA,26785,1982,1,26785,RURAL
PRAHRAN,25550,1982,1,25550,URBAN
MILDURA,28722,1985,1,28722,RURAL
MILDURA,30691,1988,1,30691,RURAL
RICHMOND,28586,1982,1,28586,URBAN
MILDURA,30948,1992,1,30948,RURAL
MILDURA,32165,1996,1,32165,RURAL
RODNEY,27353,1982,1,27353,RURAL
ST KILDA,26612,1982,1,26612,URBAN
MILDURA,33191,1999,1,33191,RURAL
MILDURA,36098,2002,1,36098,RURAL
MILDURA,36320,2006,1,36320,RURAL
MILDURA,37638,2010,1,37638,RURAL
MILDURA,42452,2014,1,42452,RURAL
MILDURA,44401,2018,1,44401,RURAL
MILL PARK,32275,1992,1,32275,URBAN
MILL PARK,36729,1996,1,36729,URBAN
MILL PARK,41456,1999,1,41456,URBAN
WARRNAMBOOL,26503,1982,1,26503,RURAL
MILL PARK,35926,2002,1,35926,URBAN
MILL PARK,38365,2006,1,38365,URBAN
WILLIAMSTOWN,29627,1982,1,29627,URBAN
ALBERT PARK,29824,1985,1,29824,URBAN
MILL PARK,41032,2010,1,41032,URBAN
MILL PARK,42969,2014,1,42969,URBAN
MILL PARK,46475,2018,1,46475,URBAN
MITCHAM,26570,1967,1,26570,URBAN
BENALLA,30172,1985,1,30172,RURAL
BENAMBRA,29769,1985,1,29769,RURAL
BENDIGO EAST,30133,1985,1,30133,METRO
BENDIGO WEST,31300,1985,1,31300,METRO
MITCHAM,29303,1970,1,29303,URBAN
MITCHAM,33118,1973,1,33118,URBAN
MITCHAM,28231,1976,1,28231,URBAN
MITCHAM,28827,1979,1,28827,URBAN
BRIGHTON,31106,1985,1,31106,URBAN
MITCHAM,29071,1982,1,29071,URBAN
BRUNSWICK,30524,1985,1,30524,URBAN
MITCHAM,30186,1985,1,30186,URBAN
MITCHAM,29584,1988,1,29584,URBAN
MITCHAM,33108,1992,1,33108,URBAN
MITCHAM,33861,1996,1,33861,URBAN
MITCHAM,34479,1999,1,34479,URBAN
MITCHAM,36672,2002,1,36672,URBAN
MITCHAM,36374,2006,1,36374,URBAN
DANDENONG,29569,1985,1,29569,RURAL
MITCHAM,37054,2010,1,37054,URBAN
MONBULK,25174,1967,1,25174,URBAN
MONBULK,29096,1970,1,29096,URBAN
MONBULK,37569,1973,1,37569,URBAN
MONBULK,27602,1976,1,27602,URBAN
ESSENDON,30790,1985,1,30790,URBAN
EVELYN,30350,1985,1,30350,RURAL
MONBULK,30262,1979,1,30262,URBAN
MONBULK,32748,1982,1,32748,URBAN
MONBULK,29273,1985,1,29273,URBAN
MONBULK,30721,1988,1,30721,URBAN
GEELONG,31388,1985,1,31388,METRO
MONBULK,30993,1992,1,30993,URBAN
GIPPSLAND EAST,28866,1985,1,28866,RURAL
GIPPSLAND SOUTH,30317,1985,1,30317,RURAL
GIPPSLAND WEST,31729,1985,1,31729,RURAL
MONBULK,32217,1996,1,32217,URBAN
MONBULK,33627,1999,1,33627,URBAN
MONBULK,36119,2002,1,36119,URBAN
HAWTHORN,31754,1985,1,31754,URBAN
MONBULK,36262,2006,1,36262,URBAN
MONBULK,37887,2010,1,37887,URBAN
MONBULK,41906,2014,1,41906,URBAN
MONBULK,43324,2018,1,43324,URBAN
LOWAN,28629,1985,1,28629,RURAL
MOONEE PONDS,26295,1945,1,26295,URBAN
MELBOURNE,30396,1985,1,30396,URBAN
MOONEE PONDS,27141,1947,1,27141,URBAN
MOONEE PONDS,26569,1950,1,26569,URBAN
MOONEE PONDS,26177,1952,1,26177,URBAN
MOONEE PONDS,22024,1955,1,22024,URBAN
MORNINGTON,30629,1985,1,30629,RURAL
MOONEE PONDS,20777,1958,1,20777,URBAN
MOONEE PONDS,20225,1961,1,20225,URBAN
MOONEE PONDS,19976,1964,1,19976,URBAN
MOONEE PONDS,26189,1967,1,26189,URBAN
MOONEE PONDS,25266,1970,1,25266,URBAN
MOONEE PONDS,26505,1973,1,26505,URBAN
MOORABBIN,31795,1955,1,31795,URBAN
POLWARTH,30277,1985,1,30277,RURAL
MOORABBIN,26199,1958,1,26199,URBAN
PRAHRAN,31815,1985,1,31815,URBAN
MOORABBIN,30799,1961,1,30799,URBAN
MOORABBIN,33974,1964,1,33974,URBAN
RICHMOND,31068,1985,1,31068,URBAN
MOORABBIN,26147,1967,1,26147,URBAN
MOORABBIN,27405,1970,1,27405,URBAN
RODNEY,30261,1985,1,30261,RURAL
MOORABBIN,30410,1973,1,30410,URBAN
ST KILDA,30828,1985,1,30828,URBAN
MOOROOLBARK,31401,1992,1,31401,URBAN
MOOROOLBARK,32693,1996,1,32693,URBAN
MOOROOLBARK,34835,1999,1,34835,URBAN
MORDIALLOC,31791,1992,1,31791,URBAN
MORDIALLOC,32249,1996,1,32249,URBAN
MORDIALLOC,32829,1999,1,32829,URBAN
MORDIALLOC,37617,2002,1,37617,URBAN
MORDIALLOC,39249,2006,1,39249,URBAN
MORDIALLOC,41690,2010,1,41690,URBAN
MORDIALLOC,43607,2014,1,43607,URBAN
WARRNAMBOOL,29390,1985,1,29390,RURAL
MORDIALLOC,46041,2018,1,46041,URBAN
MORWELL,20981,1955,1,20981,METRO
WILLIAMSTOWN,30811,1985,1,30811,URBAN
ALBERT PARK,28551,1988,1,28551,URBAN
MORWELL,21132,1958,1,21132,METRO
MORWELL,22946,1961,1,22946,METRO
MORWELL,24713,1964,1,24713,METRO
MORWELL,22627,1967,1,22627,METRO
BENALLA,31248,1988,1,31248,RURAL
BENAMBRA,32735,1988,1,32735,RURAL
BENDIGO EAST,32269,1988,1,32269,METRO
BENDIGO WEST,33668,1988,1,33668,METRO
MORWELL,24058,1970,1,24058,METRO
MORWELL,26145,1973,1,26145,METRO
MORWELL,25874,1976,1,25874,METRO
MORWELL,26878,1979,1,26878,METRO
BRIGHTON,30085,1988,1,30085,URBAN
MORWELL,28658,1982,1,28658,METRO
BRUNSWICK,29834,1988,1,29834,URBAN
MORWELL,29979,1985,1,29979,METRO
MORWELL,30494,1988,1,30494,METRO
MORWELL,33493,1992,1,33493,METRO
MORWELL,33541,1996,1,33541,METRO
MORWELL,33737,1999,1,33737,METRO
MORWELL,36042,2002,1,36042,METRO
MORWELL,36667,2006,1,36667,METRO
DANDENONG,28772,1988,1,28772,RURAL
MORWELL,38648,2010,1,38648,METRO
MORWELL,45409,2014,1,45409,METRO
MORWELL,48406,2018,1,48406,METRO
MOUNT WAVERLEY,36752,2002,1,36752,URBAN
MOUNT WAVERLEY,36604,2006,1,36604,URBAN
ESSENDON,29191,1988,1,29191,URBAN
EVELYN,34139,1988,1,34139,RURAL
MOUNT WAVERLEY,36917,2010,1,36917,URBAN
MOUNT WAVERLEY,39993,2014,1,39993,URBAN
MOUNT WAVERLEY,38937,2018,1,38937,URBAN
MULGRAVE,31861,1958,1,31861,URBAN
GEELONG,29765,1988,1,29765,METRO
MULGRAVE,46023,1961,1,46023,URBAN
GIPPSLAND EAST,31081,1988,1,31081,RURAL
GIPPSLAND SOUTH,31835,1988,1,31835,RURAL
GIPPSLAND WEST,34638,1988,1,34638,RURAL
MULGRAVE,58067,1964,1,58067,URBAN
MULGRAVE,34337,2002,1,34337,URBAN
MULGRAVE,33982,2006,1,33982,URBAN
HAWTHORN,30309,1988,1,30309,URBAN
MULGRAVE,34995,2010,1,34995,URBAN
MULGRAVE,40682,2014,1,40682,URBAN
MULGRAVE,40588,2018,1,40588,URBAN
MURRAY PLAINS,45327,2014,1,45327,RURAL
LOWAN,28673,1988,1,28673,RURAL
MURRAY PLAINS,46924,2018,1,46924,RURAL
MELBOURNE,28299,1988,1,28299,URBAN
MURRAY VALLEY,13551,1945,1,13551,RURAL
MURRAY VALLEY,14226,1947,1,14226,RURAL
MURRAY VALLEY,15343,1950,1,15343,RURAL
MURRAY VALLEY,16461,1952,1,16461,RURAL
MORNINGTON,36614,1988,1,36614,RURAL
MURRAY VALLEY,21066,1955,1,21066,RURAL
MURRAY VALLEY,21889,1958,1,21889,RURAL
MURRAY VALLEY,23051,1961,1,23051,RURAL
MURRAY VALLEY,24526,1964,1,24526,RURAL
MURRAY VALLEY,18847,1967,1,18847,RURAL
MURRAY VALLEY,19498,1970,1,19498,RURAL
MURRAY VALLEY,21834,1973,1,21834,RURAL
POLWARTH,31392,1988,1,31392,RURAL
MURRAY VALLEY,25134,1976,1,25134,RURAL
PRAHRAN,29115,1988,1,29115,URBAN
MURRAY VALLEY,26288,1979,1,26288,RURAL
MURRAY VALLEY,27182,1982,1,27182,RURAL
RICHMOND,30425,1988,1,30425,URBAN
MURRAY VALLEY,30959,1985,1,30959,RURAL
MURRAY VALLEY,32867,1988,1,32867,RURAL
RODNEY,31231,1988,1,31231,RURAL
MURRAY VALLEY,33179,1992,1,33179,RURAL
ST KILDA,28162,1988,1,28162,URBAN
MURRAY VALLEY,34420,1996,1,34420,RURAL
MURRAY VALLEY,34790,1999,1,34790,RURAL
MURRAY VALLEY,35081,2002,1,35081,RURAL
MURRAY VALLEY,36739,2006,1,36739,RURAL
MURRAY VALLEY,38342,2010,1,38342,RURAL
NARRACAN,21955,1967,1,21955,RURAL
NARRACAN,22567,1970,1,22567,RURAL
NARRACAN,24435,1973,1,24435,RURAL
NARRACAN,25543,1976,1,25543,RURAL
NARRACAN,27236,1979,1,27236,RURAL
WARRNAMBOOL,30222,1988,1,30222,RURAL
NARRACAN,29055,1982,1,29055,RURAL
NARRACAN,29436,1985,1,29436,RURAL
WILLIAMSTOWN,31231,1988,1,31231,URBAN
ALBERT PARK,33819,1992,1,33819,URBAN
NARRACAN,30406,1988,1,30406,RURAL
BALLARAT EAST,30192,1992,1,30192,METRO
BALLARAT WEST,30769,1992,1,30769,METRO
NARRACAN,31176,1992,1,31176,RURAL
NARRACAN,31360,1996,1,31360,RURAL
BENALLA,31795,1992,1,31795,RURAL
BENAMBRA,31450,1992,1,31450,RURAL
BENDIGO EAST,30992,1992,1,30992,METRO
BENDIGO WEST,32197,1992,1,32197,METRO
NARRACAN,31688,1999,1,31688,RURAL
NARRACAN,37315,2002,1,37315,RURAL
NARRACAN,38846,2006,1,38846,RURAL
NARRACAN,42337,2010,1,42337,RURAL
BRIGHTON,32769,1992,1,32769,URBAN
NARRACAN,46055,2014,1,46055,RURAL
NARRACAN,52203,2018,1,52203,RURAL
NEPEAN,36176,2002,1,36176,RURAL
NEPEAN,36451,2006,1,36451,RURAL
NEPEAN,39050,2010,1,39050,RURAL
NEPEAN,44669,2014,1,44669,RURAL
NEPEAN,49653,2018,1,49653,RURAL
NIDDRIE,27755,1976,1,27755,URBAN
NIDDRIE,29152,1979,1,29152,URBAN
DANDENONG,33075,1992,1,33075,RURAL
NIDDRIE,30651,1982,1,30651,URBAN
NIDDRIE,29718,1985,1,29718,URBAN
NIDDRIE,30625,1988,1,30625,URBAN
NIDDRIE,32033,1992,1,32033,URBAN
ESSENDON,32819,1992,1,32819,URBAN
EVELYN,32350,1992,1,32350,RURAL
NIDDRIE,32772,1996,1,32772,URBAN
NIDDRIE,33802,1999,1,33802,URBAN
NIDDRIE,36896,2002,1,36896,URBAN
NIDDRIE,36148,2006,1,36148,URBAN
GEELONG,34106,1992,1,34106,METRO
NIDDRIE,36805,2010,1,36805,URBAN
GIPPSLAND EAST,30884,1992,1,30884,RURAL
GIPPSLAND SOUTH,32704,1992,1,32704,RURAL
GIPPSLAND WEST,29502,1992,1,29502,RURAL
NIDDRIE,42548,2014,1,42548,URBAN
NIDDRIE,44716,2018,1,44716,URBAN
HAWTHORN,34657,1992,1,34657,URBAN
NOBLE PARK,30392,1976,1,30392,URBAN
NOBLE PARK,32386,1979,1,32386,URBAN
NOBLE PARK,36298,1982,1,36298,URBAN
NORMANBY,2064,1894,1,2064,RURAL
NORMANBY,1873,1897,1,1873,RURAL
MELBOURNE,33560,1992,1,33560,URBAN
NORMANBY,1985,1900,1,1985,RURAL
NORMANBY,2112,1902,1,2112,URBAN
NORTHCOTE,22405,1927,1,22405,URBAN
NORTHCOTE,22346,1929,1,22346,URBAN
NORTHCOTE,23495,1932,1,23495,URBAN
NORTHCOTE,23686,1935,1,23686,URBAN
NORTHCOTE,24603,1937,1,24603,URBAN
MORNINGTON,30437,1992,1,30437,RURAL
NORTHCOTE,24692,1940,1,24692,URBAN
NORTHCOTE,26623,1943,1,26623,URBAN
NORTHCOTE,24963,1945,1,24963,URBAN
NORTHCOTE,25895,1947,1,25895,URBAN
NORTHCOTE,25355,1950,1,25355,URBAN
NORTHCOTE,24584,1952,1,24584,URBAN
NORTHCOTE,19198,1955,1,19198,URBAN
NORTHCOTE,21723,1958,1,21723,URBAN
POLWARTH,32325,1992,1,32325,RURAL
NORTHCOTE,20171,1961,1,20171,URBAN
PRAHRAN,35113,1992,1,35113,URBAN
NORTHCOTE,19465,1964,1,19465,URBAN
RICHMOND,35127,1992,1,35127,URBAN
NORTHCOTE,24564,1967,1,24564,URBAN
RODNEY,31603,1992,1,31603,RURAL
NORTHCOTE,24180,1970,1,24180,URBAN
NORTHCOTE,25584,1973,1,25584,URBAN
NORTHCOTE,29986,1976,1,29986,URBAN
NORTHCOTE,29338,1979,1,29338,URBAN
NORTHCOTE,29412,1982,1,29412,URBAN
NORTHCOTE,30708,1985,1,30708,URBAN
NORTHCOTE,29898,1988,1,29898,URBAN
NORTHCOTE,33902,1992,1,33902,URBAN
NORTHCOTE,34884,1996,1,34884,URBAN
NORTHCOTE,35965,1999,1,35965,URBAN
NORTHCOTE,37722,2002,1,37722,URBAN
WARRNAMBOOL,32448,1992,1,32448,RURAL
NORTHCOTE,38584,2006,1,38584,URBAN
WILLIAMSTOWN,32774,1992,1,32774,URBAN
NORTHCOTE,40423,2010,1,40423,URBAN
NORTHCOTE,44273,2014,1,44273,URBAN
ALBERT PARK,37480,1996,1,37480,URBAN
NORTHCOTE,48831,2018,1,48831,URBAN
BALLARAT EAST,31581,1996,1,31581,METRO
BALLARAT WEST,31914,1996,1,31914,METRO
NUMURKAH AND NATHALIA,2118,1894,1,2118,RURAL
NUMURKAH AND NATHALIA,2092,1897,1,2092,RURAL
BENALLA,32966,1996,1,32966,RURAL
BENAMBRA,33837,1996,1,33837,RURAL
BENDIGO EAST,32794,1996,1,32794,METRO
BENDIGO WEST,33907,1996,1,33907,METRO
NUMURKAH AND NATHALIA,2231,1900,1,2231,RURAL
NUMURKAH AND NATHALIA,2234,1902,1,2234,RURAL
NUNAWADING,19012,1927,1,19012,URBAN
NUNAWADING,21032,1929,1,21032,URBAN
BRIGHTON,33421,1996,1,33421,URBAN
NUNAWADING,22238,1932,1,22238,URBAN
NUNAWADING,22801,1935,1,22801,URBAN
NUNAWADING,24507,1937,1,24507,URBAN
NUNAWADING,26253,1940,1,26253,URBAN
NUNAWADING,30157,1943,1,30157,URBAN
OAKLEIGH,24730,1927,1,24730,URBAN
OAKLEIGH,27452,1929,1,27452,URBAN
OAKLEIGH,28255,1932,1,28255,URBAN
OAKLEIGH,29603,1935,1,29603,URBAN
DANDENONG,39727,1996,1,39727,RURAL
OAKLEIGH,32314,1937,1,32314,URBAN
OAKLEIGH,33877,1940,1,33877,URBAN
OAKLEIGH,39079,1943,1,39079,URBAN
OAKLEIGH,24422,1945,1,24422,URBAN
ESSENDON,33728,1996,1,33728,URBAN
EVELYN,34655,1996,1,34655,RURAL
OAKLEIGH,27079,1950,1,27079,URBAN
OAKLEIGH,28548,1952,1,28548,URBAN
OAKLEIGH,19761,1955,1,19761,URBAN
OAKLEIGH,22659,1958,1,22659,URBAN
GEELONG,34099,1996,1,34099,METRO
OAKLEIGH,23142,1961,1,23142,URBAN
GIPPSLAND EAST,32716,1996,1,32716,RURAL
GIPPSLAND SOUTH,32958,1996,1,32958,RURAL
GIPPSLAND WEST,31348,1996,1,31348,RURAL
OAKLEIGH,23331,1964,1,23331,URBAN
OAKLEIGH,24827,1967,1,24827,URBAN
HAWTHORN,35652,1996,1,35652,URBAN
OAKLEIGH,25162,1970,1,25162,URBAN
OAKLEIGH,26814,1973,1,26814,URBAN
OAKLEIGH,29343,1976,1,29343,URBAN
OAKLEIGH,28849,1979,1,28849,URBAN
OAKLEIGH,28152,1982,1,28152,URBAN
MELBOURNE,37574,1996,1,37574,URBAN
OAKLEIGH,29952,1985,1,29952,URBAN
OAKLEIGH,28745,1988,1,28745,URBAN
OAKLEIGH,32554,1992,1,32554,URBAN
OAKLEIGH,33229,1996,1,33229,URBAN
OAKLEIGH,34347,1999,1,34347,URBAN
OAKLEIGH,34995,2002,1,34995,URBAN
OAKLEIGH,34478,2006,1,34478,URBAN
MORNINGTON,33527,1996,1,33527,RURAL
OAKLEIGH,35602,2010,1,35602,URBAN
OAKLEIGH,39556,2014,1,39556,URBAN
OAKLEIGH,41595,2018,1,41595,URBAN
OFFICERS,6336,1904,1,6336,URBAN
OAKLEIGH,26246,1947,1,26246,URBAN
ORMOND,24208,1958,1,24208,URBAN
ORMOND,24799,1961,1,24799,URBAN
ORMOND,25534,1964,1,25534,URBAN
POLWARTH,32761,1996,1,32761,RURAL
OUYEN,10499,1927,1,10499,RURAL
PRAHRAN,37891,1996,1,37891,URBAN
OUYEN,11068,1929,1,11068,RURAL
RICHMOND,39405,1996,1,39405,URBAN
OUYEN,10679,1932,1,10679,RURAL
RODNEY,32425,1996,1,32425,RURAL
OUYEN,11063,1935,1,11063,RURAL
OUYEN,10511,1937,1,10511,RURAL
OUYEN,10077,1940,1,10077,RURAL
OUYEN,8888,1943,1,8888,RURAL
OVENS VALLEY,41110,2014,1,41110,RURAL
OVENS VALLEY,43200,2018,1,43200,RURAL
PAKENHAM,30408,1992,1,30408,URBAN
PAKENHAM,33036,1996,1,33036,URBAN
PAKENHAM,35194,1999,1,35194,URBAN
PASCOE VALE,22732,1955,1,22732,URBAN
PASCOE VALE,30091,1985,1,30091,URBAN
WARRNAMBOOL,33711,1996,1,33711,RURAL
PASCOE VALE,28663,1988,1,28663,URBAN
WILLIAMSTOWN,33966,1996,1,33966,URBAN
PASCOE VALE,30896,1992,1,30896,URBAN
PASCOE VALE,30828,1996,1,30828,URBAN
ALBERT PARK,39365,1999,1,39365,URBAN
PASCOE VALE,31045,1999,1,31045,URBAN
BALLARAT EAST,32526,1999,1,32526,METRO
BALLARAT WEST,32893,1999,1,32893,METRO
PASCOE VALE,37634,2002,1,37634,URBAN
PASCOE VALE,38591,2006,1,38591,URBAN
BENALLA,34087,1999,1,34087,RURAL
BENAMBRA,35378,1999,1,35378,RURAL
BENDIGO EAST,34094,1999,1,34094,METRO
BENDIGO WEST,34932,1999,1,34932,METRO
PASCOE VALE,40763,2010,1,40763,URBAN
PASCOE VALE,45879,2014,1,45879,URBAN
PASCOE VALE,51163,2018,1,51163,URBAN
PORT FAIRY AND GLENELG,10898,1927,1,10898,RURAL
BRIGHTON,34221,1999,1,34221,URBAN
PORT FAIRY AND GLENELG,11000,1929,1,11000,RURAL
PORT FAIRY AND GLENELG,11491,1932,1,11491,RURAL
PORT FAIRY AND GLENELG,11821,1935,1,11821,RURAL
PORT FAIRY AND GLENELG,11994,1937,1,11994,RURAL
PORT FAIRY AND GLENELG,12213,1940,1,12213,RURAL
PORT FAIRY AND GLENELG,11945,1943,1,11945,RURAL
PORTLAND,1899,1894,1,1899,RURAL
PORTLAND,1743,1897,1,1743,RURAL
PORTLAND,2081,1900,1,2081,RURAL
DANDENONG,46056,1999,1,46056,RURAL
PORTLAND,2151,1902,1,2151,RURAL
PORTLAND,14045,1945,1,14045,RURAL
PORTLAND,14564,1947,1,14564,RURAL
PORTLAND,15054,1950,1,15054,RURAL
ESSENDON,34636,1999,1,34636,URBAN
EVELYN,34655,1999,1,34655,RURAL
PORTLAND,15454,1952,1,15454,RURAL
PORTLAND,19089,1955,1,19089,RURAL
PORTLAND,22013,1958,1,22013,RURAL
PORTLAND,22756,1961,1,22756,RURAL
GEELONG,33830,1999,1,33830,METRO
PORTLAND,23338,1964,1,23338,RURAL
GIPPSLAND EAST,33075,1999,1,33075,RURAL
GIPPSLAND SOUTH,32761,1999,1,32761,RURAL
GIPPSLAND WEST,32796,1999,1,32796,RURAL
PORTLAND,18215,1967,1,18215,RURAL
PORTLAND,18641,1970,1,18641,RURAL
HAWTHORN,36943,1999,1,36943,URBAN
PORTLAND,19784,1973,1,19784,RURAL
