DISTRICT,EN,YEAR,SEATS,PROP,Category
BENAMBRA,2672,1907,1,2672,RURAL
BENDIGO EAST,3841,1907,1,3841,METRO
BENDIGO WEST,4382,1907,1,4382,METRO
BOROONDARA,5016,1907,1,5016,URBAN
BORUNG,3127,1907,1,3127,RURAL
BRIGHTON,4121,1907,1,4121,URBAN
BRUNSWICK,5330,1907,1,5330,URBAN
BULLA,3764,1907,1,3764,RURAL
CARLTON,4439,1907,1,4439,URBAN
CASTLEMAINE AND MALDON,3388,1907,1,3388,RURAL
COLLINGWOOD,4499,1907,1,4499,URBAN
DALHOUSIE,3986,1907,1,3986,RURAL
DANDENONG,4263,1907,1,4263,RURAL
DAYLESFORD,3156,1907,1,3156,RURAL
DUNDAS,3098,1907,1,3098,RURAL
EAGLEHAWK,3582,1907,1,3582,RURAL
EAST MELBOURNE,4346,1907,1,4346,URBAN
ESSENDON,5810,1907,1,5810,URBAN
EVELYN,3641,1907,1,3641,RURAL
FITZROY,4269,1907,1,4269,URBAN
FLEMINGTON,5384,1907,1,5384,URBAN
GEELONG,4414,1907,1,4414,METRO
GIPPSLAND EAST,3101,1907,1,3101,RURAL
GIPPSLAND NORTH,3060,1907,1,3060,RURAL
GIPPSLAND SOUTH,3875,1907,1,3875,RURAL
GIPPSLAND WEST,3303,1907,1,3303,RURAL
GLENELG,3600,1907,1,3600,RURAL
GOULBURN VALLEY,3257,1907,1,3257,RURAL
GRENVILLE,3693,1907,1,3693,RURAL
GUNBOWER,3067,1907,1,3067,RURAL
HAMPDEN,4064,1907,1,4064,RURAL
HAWTHORN,5833,1907,1,5833,URBAN
JIKA JIKA,5660,1907,1,5660,URBAN
KARA KARA,3229,1907,1,3229,RURAL
KORONG,2736,1907,1,2736,RURAL
LOWAN,3102,1907,1,3102,RURAL
MARYBOROUGH,3828,1907,1,3828,RURAL
MELBOURNE,5918,1907,1,5918,URBAN
MORNINGTON,4275,1907,1,4275,RURAL
NORTH MELBOURNE,5364,1907,1,5364,URBAN
OVENS,3035,1907,1,3035,RURAL
POLWARTH,3774,1907,1,3774,RURAL
PORT FAIRY,3580,1907,1,3580,RURAL
PORT MELBOURNE,5483,1907,1,5483,URBAN
PRAHRAN,4903,1907,1,4903,URBAN
RICHMOND,5091,1907,1,5091,URBAN
RODNEY,3542,1907,1,3542,RURAL
ST KILDA,4840,1907,1,4840,URBAN
STAWELL AND ARARAT,3260,1907,1,3260,RURAL
BOX HILL,30717,1950,1,30717,URBAN
TOORAK,4751,1907,1,4751,URBAN
UPPER GOULBURN,3661,1907,1,3661,RURAL
WALHALLA,2830,1907,1,2830,RURAL
WANGARATTA,3735,1907,1,3735,RURAL
WARANGA,2953,1907,1,2953,RURAL
WARRENHEIP,3073,1907,1,3073,RURAL
WARRNAMBOOL,3278,1907,1,3278,RURAL
WILLIAMSTOWN,5723,1907,1,5723,URBAN
BOX HILL,36858,1952,1,36858,URBAN
ALBERT PARK,5171,1908,1,5171,URBAN
ALLENDALE,3145,1908,1,3145,RURAL
BALLARAT EAST,4153,1908,1,4153,METRO
BALLARAT WEST,3986,1908,1,3986,METRO
BARWON,3997,1908,1,3997,RURAL
BENALLA,3555,1908,1,3555,RURAL
BENAMBRA,2793,1908,1,2793,RURAL
BENDIGO EAST,4031,1908,1,4031,METRO
BENDIGO WEST,4321,1908,1,4321,METRO
